tick,timestamp,cenario,controlador,msgs_processadas_intervalo,msgs_por_segundo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target,prefetch_aplicado
1,1780310803.315,mudanca_target,random_forest,666,22.2,230,207.8,-0.903478,0,9582,2,1,1,1
2,1780310833.547,mudanca_target,random_forest,1314,43.8,230,186.2,-0.809565,0,17065,3,1,2,1
3,1780310863.786,mudanca_target,random_forest,1961,65.3667,230,164.63330000000002,-0.715797,0,23958,4,1,3,1
4,1780310894.035,mudanca_target,random_forest,2552,85.0667,230,144.9333,-0.630145,0,30190,5,1,4,1
5,1780310924.267,mudanca_target,random_forest,3153,105.1,230,124.9,-0.543043,0,35911,6,1,5,1
6,1780310954.521,mudanca_target,random_forest,3704,123.4667,230,106.5333,-0.463188,0,41015,7,1,6,1
7,1780310984.772,mudanca_target,random_forest,4295,143.1667,230,86.83330000000001,-0.377536,0,45638,8,1,7,1
8,1780311015.031,mudanca_target,random_forest,4684,156.1333,230,73.86670000000001,-0.32116,0,50357,9,1,8,1
9,1780311045.288,mudanca_target,random_forest,5211,173.7,230,56.30000000000001,-0.244783,0,53935,10,1,9,1
10,1780311075.555,mudanca_target,random_forest,5558,185.2667,230,44.733300000000014,-0.194493,0,57117,11,1,10,1
11,1780311105.84,mudanca_target,random_forest,5988,199.6,230,30.400000000000006,-0.132174,0,59932,12,1,11,1
12,1780311136.097,mudanca_target,random_forest,6245,208.1667,230,21.83330000000001,-0.094927,1,62482,12,0,12,0
13,1780311166.214,mudanca_target,random_forest,6253,208.4333,230,21.566699999999997,-0.093768,1,65010,12,0,13,0
14,1780311196.32,mudanca_target,random_forest,6252,208.4,230,21.599999999999994,-0.093913,1,67461,12,0,14,0
15,1780311226.447,mudanca_target,random_forest,6308,210.2667,230,19.733300000000014,-0.085797,1,69926,12,0,15,0
16,1780311256.554,mudanca_target,random_forest,6198,206.6,230,23.400000000000006,-0.101739,0,72413,13,1,16,1
17,1780311286.927,mudanca_target,random_forest,6572,219.0667,230,10.933300000000003,-0.047536,1,74729,13,0,17,0
18,1780311317.049,mudanca_target,random_forest,6390,213.0,230,17.0,-0.073913,1,77006,13,0,18,0
19,1780311347.18,mudanca_target,random_forest,6488,216.2667,230,13.733300000000014,-0.05971,1,79292,13,0,19,0
20,1780311377.308,mudanca_target,random_forest,6438,214.6,230,15.400000000000006,-0.066957,1,81505,13,0,20,0
21,1780311407.438,mudanca_target,random_forest,6497,216.5667,230,13.433300000000003,-0.058406,1,83800,13,0,21,0
22,1780311437.537,mudanca_target,random_forest,6496,216.5333,230,13.466700000000003,-0.058551,1,86002,13,0,22,0
23,1780311467.647,mudanca_target,random_forest,6518,217.2667,230,12.733300000000014,-0.055362,1,88313,13,0,23,0
24,1780311497.757,mudanca_target,random_forest,6568,218.9333,230,11.066699999999997,-0.048116,1,90474,13,0,24,0
25,1780311527.863,mudanca_target,random_forest,6425,214.1667,230,15.833300000000008,-0.06884,1,92883,13,0,25,0
26,1780311557.969,mudanca_target,random_forest,6472,215.7333,230,14.266699999999986,-0.062029,1,95151,13,0,26,0
27,1780311588.105,mudanca_target,random_forest,6542,218.0667,230,11.933300000000003,-0.051884,1,97376,13,0,27,0
28,1780311618.227,mudanca_target,random_forest,6302,210.0667,230,19.933300000000003,-0.086667,1,99645,13,0,28,0
29,1780311648.347,mudanca_target,random_forest,6531,217.7,230,12.300000000000011,-0.053478,1,101928,13,0,29,0
30,1780311678.447,mudanca_target,random_forest,6441,214.7,230,15.300000000000011,-0.066522,1,104168,13,0,30,0
31,1780311708.577,mudanca_target,random_forest,6575,219.1667,230,10.833300000000008,-0.047101,1,106392,13,0,31,0
32,1780311738.701,mudanca_target,random_forest,6444,214.8,230,15.199999999999989,-0.066087,1,108609,13,0,32,0
33,1780311768.835,mudanca_target,random_forest,6463,215.4333,230,14.566699999999997,-0.063333,1,110932,13,0,33,0
34,1780311798.933,mudanca_target,random_forest,6348,211.6,230,18.400000000000006,-0.08,1,113274,13,0,34,0
35,1780311829.053,mudanca_target,random_forest,6518,217.2667,230,12.733300000000014,-0.055362,1,115606,13,0,35,0
36,1780311859.171,mudanca_target,random_forest,6465,215.5,230,14.5,-0.063043,1,117892,13,0,36,0
37,1780311889.3,mudanca_target,random_forest,6427,214.2333,230,15.766699999999986,-0.068551,1,120287,13,0,37,0
38,1780311919.414,mudanca_target,random_forest,6454,215.1333,230,14.866700000000009,-0.064638,1,122575,13,0,38,0
39,1780311949.551,mudanca_target,random_forest,6574,219.1333,230,10.866700000000009,-0.047247,1,124851,13,0,39,0
40,1780311979.648,mudanca_target,random_forest,6348,211.6,230,18.400000000000006,-0.08,1,127261,13,0,40,0
41,1780312009.751,mudanca_target,random_forest,6587,219.5667,230,10.433300000000003,-0.045362,1,129512,13,0,41,0
42,1780312039.881,mudanca_target,random_forest,6510,217.0,230,13.0,-0.056522,1,131732,13,0,42,0
43,1780312069.998,mudanca_target,random_forest,6599,219.9667,230,10.033299999999997,-0.043623,1,134028,13,0,43,0
44,1780312100.134,mudanca_target,random_forest,6471,215.7,230,14.300000000000011,-0.062174,1,136727,13,0,44,0
45,1780312130.261,mudanca_target,random_forest,6477,215.9,230,14.099999999999994,-0.061304,1,139152,13,0,45,0
46,1780312160.371,mudanca_target,random_forest,6466,215.5333,230,14.466700000000003,-0.062899,1,141494,13,0,46,0
47,1780312190.484,mudanca_target,random_forest,6533,217.7667,230,12.233300000000014,-0.053188,1,143822,13,0,47,0
48,1780312220.597,mudanca_target,random_forest,6395,213.1667,230,16.83330000000001,-0.073188,1,146176,13,0,48,0
49,1780312250.693,mudanca_target,random_forest,6441,214.7,230,15.300000000000011,-0.066522,1,148536,13,0,49,0
50,1780312280.821,mudanca_target,random_forest,6495,216.5,230,13.5,-0.058696,1,150854,13,0,50,0
51,1780312310.947,mudanca_target,random_forest,6542,218.0667,230,11.933300000000003,-0.051884,1,153140,13,0,51,0
52,1780312341.061,mudanca_target,random_forest,6428,214.2667,230,15.733300000000014,-0.068406,1,155418,13,0,52,0
53,1780312371.177,mudanca_target,random_forest,6570,219.0,230,11.0,-0.047826,1,157744,13,0,53,0
54,1780312401.312,mudanca_target,random_forest,6515,217.1667,230,12.833300000000008,-0.055797,1,160062,13,0,54,0
55,1780312431.427,mudanca_target,random_forest,6630,221.0,230,9.0,-0.03913,1,162289,13,0,55,0
56,1780312461.538,mudanca_target,random_forest,6429,214.3,230,15.699999999999989,-0.068261,1,164606,13,0,56,0
57,1780312491.668,mudanca_target,random_forest,6508,216.9333,230,13.066699999999997,-0.056812,1,166991,13,0,57,0
58,1780312521.766,mudanca_target,random_forest,6462,215.4,230,14.599999999999994,-0.063478,1,169181,13,0,58,0
59,1780312551.887,mudanca_target,random_forest,6524,217.4667,230,12.533299999999997,-0.054493,1,171549,13,0,59,0
60,1780312582.005,mudanca_target,random_forest,6512,217.0667,230,12.933300000000003,-0.056232,1,173837,13,0,60,0
61,1780312612.122,mudanca_target,random_forest,6552,218.4,230,11.599999999999994,-0.050435,1,176126,13,0,61,0
62,1780312642.247,mudanca_target,random_forest,6487,216.2333,230,13.766699999999986,-0.059855,1,178458,13,0,62,0
63,1780312672.351,mudanca_target,random_forest,6596,219.8667,230,10.133299999999991,-0.044058,1,180736,13,0,63,0
64,1780312702.482,mudanca_target,random_forest,6323,210.7667,230,19.233300000000014,-0.083623,1,183138,13,0,64,0
65,1780312732.598,mudanca_target,random_forest,6579,219.3,230,10.699999999999989,-0.046522,1,185422,13,0,65,0
66,1780312762.693,mudanca_target,random_forest,6433,214.4333,230,15.566699999999997,-0.067681,1,187778,13,0,66,0
67,1780312792.828,mudanca_target,random_forest,6591,219.7,230,10.300000000000011,-0.044783,1,190108,13,0,67,0
68,1780312822.931,mudanca_target,random_forest,6372,212.4,230,17.599999999999994,-0.076522,1,192465,13,0,68,0
69,1780312853.057,mudanca_target,random_forest,6533,217.7667,230,12.233300000000014,-0.053188,1,194779,13,0,69,0
70,1780312883.191,mudanca_target,random_forest,6458,215.2667,230,14.733300000000014,-0.064058,1,197115,13,0,70,0
71,1780312913.322,mudanca_target,random_forest,6440,214.6667,230,15.333300000000008,-0.066667,1,199568,13,0,71,0
72,1780312943.439,mudanca_target,random_forest,6513,217.1,30,187.1,6.236667,0,201802,12,-1,1,1
73,1780312973.797,mudanca_target,random_forest,6285,209.5,30,179.5,5.983333,0,204388,11,-1,2,1
74,1780313004.207,mudanca_target,random_forest,5986,199.5333,30,169.5333,5.65111,0,207226,10,-1,3,1
75,1780313034.521,mudanca_target,random_forest,5596,186.5333,30,156.5333,5.217777,0,210491,9,-1,4,1
76,1780313064.767,mudanca_target,random_forest,5098,169.9333,30,139.9333,4.664443,0,214085,8,-1,5,1
77,1780313095.047,mudanca_target,random_forest,4719,157.3,30,127.30000000000001,4.243333,0,218176,7,-1,6,1
78,1780313125.289,mudanca_target,random_forest,4206,140.2,30,110.19999999999999,3.673333,0,222646,6,-1,7,1
79,1780313155.589,mudanca_target,random_forest,3734,124.4667,30,94.4667,3.14889,0,228569,5,-1,8,1
80,1780313185.837,mudanca_target,random_forest,3136,104.5333,30,74.5333,2.484443,0,234219,4,-1,9,1
81,1780313216.077,mudanca_target,random_forest,2551,85.0333,30,55.0333,1.834443,0,240500,3,-1,10,1
82,1780313246.307,mudanca_target,random_forest,1944,64.8,30,34.8,1.16,0,247349,2,-1,11,1
83,1780313276.552,mudanca_target,random_forest,1325,44.1667,30,14.166699999999999,0.472223,0,254863,1,-1,12,1
84,1780313306.789,mudanca_target,random_forest,669,22.3,30,7.699999999999999,-0.256667,0,262885,2,1,13,1
85,1780313337.044,mudanca_target,random_forest,1321,44.0333,30,14.033299999999997,0.467777,0,270440,1,-1,14,1
86,1780313367.289,mudanca_target,random_forest,659,21.9667,30,8.0333,-0.267777,0,278504,2,1,15,1
87,1780313397.521,mudanca_target,random_forest,1320,44.0,30,14.0,0.466667,0,286028,1,-1,16,1
88,1780313427.755,mudanca_target,random_forest,665,22.1667,30,7.833300000000001,-0.26111,0,293950,2,1,17,1
89,1780313458.001,mudanca_target,random_forest,1314,43.8,30,13.799999999999997,0.46,0,301506,1,-1,18,1
90,1780313488.219,mudanca_target,random_forest,668,22.2667,30,7.7333,-0.257777,0,309465,2,1,19,1
91,1780313518.449,mudanca_target,random_forest,1319,43.9667,30,13.966700000000003,0.465557,0,316995,1,-1,20,1
92,1780313548.689,mudanca_target,random_forest,667,22.2333,30,7.7667,-0.25889,0,324996,2,1,21,1
93,1780313578.927,mudanca_target,random_forest,1316,43.8667,30,13.866700000000002,0.462223,0,332583,1,-1,22,1
94,1780313609.183,mudanca_target,random_forest,658,21.9333,30,8.0667,-0.26889,0,340554,2,1,23,1
95,1780313639.407,mudanca_target,random_forest,1309,43.6333,30,13.633299999999998,0.454443,0,348092,1,-1,24,1
96,1780313669.647,mudanca_target,random_forest,672,22.4,30,7.600000000000001,-0.253333,0,356106,2,1,25,1
97,1780313699.869,mudanca_target,random_forest,1314,43.8,30,13.799999999999997,0.46,0,363735,1,-1,26,1
98,1780313730.127,mudanca_target,random_forest,662,22.0667,30,7.933299999999999,-0.264443,0,371679,2,1,27,1
99,1780313760.367,mudanca_target,random_forest,1311,43.7,30,13.700000000000003,0.456667,0,379266,1,-1,28,1
100,1780313790.61,mudanca_target,random_forest,662,22.0667,30,7.933299999999999,-0.264443,0,388475,2,1,29,1
101,1780313820.851,mudanca_target,random_forest,1320,44.0,30,14.0,0.466667,0,395948,1,-1,30,1
102,1780313851.097,mudanca_target,random_forest,665,22.1667,30,7.833300000000001,-0.26111,0,404034,2,1,31,1
103,1780313881.34,mudanca_target,random_forest,1312,43.7333,30,13.7333,0.457777,0,411567,1,-1,32,1
104,1780313911.622,mudanca_target,random_forest,670,22.3333,30,7.666699999999999,-0.255557,0,419601,2,1,33,1
105,1780313941.856,mudanca_target,random_forest,1318,43.9333,30,13.933300000000003,0.464443,0,427151,1,-1,34,1
106,1780313972.151,mudanca_target,random_forest,669,22.3,30,7.699999999999999,-0.256667,0,435185,2,1,35,1
107,1780314002.38,mudanca_target,random_forest,1312,43.7333,30,13.7333,0.457777,0,442708,1,-1,36,1
108,1780314032.711,mudanca_target,random_forest,668,22.2667,30,7.7333,-0.257777,0,450669,2,1,37,1
109,1780314062.965,mudanca_target,random_forest,1300,43.3333,30,13.333300000000001,0.444443,0,458222,1,-1,38,1
110,1780314093.227,mudanca_target,random_forest,673,22.4333,30,7.566700000000001,-0.252223,0,466227,2,1,39,1
111,1780314123.483,mudanca_target,random_forest,1310,43.6667,30,13.666699999999999,0.455557,0,473725,1,-1,40,1
112,1780314153.73,mudanca_target,random_forest,670,22.3333,30,7.666699999999999,-0.255557,0,481650,2,1,41,1
113,1780314183.977,mudanca_target,random_forest,1313,43.7667,30,13.7667,0.45889,0,489257,1,-1,42,1
114,1780314214.229,mudanca_target,random_forest,672,22.4,30,7.600000000000001,-0.253333,0,497260,2,1,43,1
115,1780314244.467,mudanca_target,random_forest,1320,44.0,30,14.0,0.466667,0,504861,1,-1,44,1
116,1780314274.7,mudanca_target,random_forest,665,22.1667,30,7.833300000000001,-0.26111,0,512856,2,1,45,1
117,1780314304.964,mudanca_target,random_forest,1307,43.5667,30,13.566699999999997,0.452223,0,520422,1,-1,46,1
118,1780314335.194,mudanca_target,random_forest,669,22.3,30,7.699999999999999,-0.256667,0,528408,2,1,47,1
119,1780314365.432,mudanca_target,random_forest,1316,43.8667,30,13.866700000000002,0.462223,0,536039,1,-1,48,1
120,1780314395.688,mudanca_target,random_forest,671,22.3667,30,7.633299999999998,-0.254443,0,545447,2,1,49,1
121,1780314425.944,mudanca_target,random_forest,1307,43.5667,30,13.566699999999997,0.452223,0,552892,1,-1,50,1
122,1780314456.195,mudanca_target,random_forest,664,22.1333,30,7.866700000000002,-0.262223,0,561069,2,1,51,1
123,1780314486.437,mudanca_target,random_forest,1302,43.4,30,13.399999999999999,0.446667,0,568489,1,-1,52,1
124,1780314516.687,mudanca_target,random_forest,669,22.3,30,7.699999999999999,-0.256667,0,576634,2,1,53,1
125,1780314546.935,mudanca_target,random_forest,1296,43.2,30,13.200000000000003,0.44,0,584124,1,-1,54,1
126,1780314577.163,mudanca_target,random_forest,675,22.5,30,7.5,-0.25,0,592228,2,1,55,1
127,1780314607.41,mudanca_target,random_forest,1304,43.4667,30,13.466700000000003,0.44889,0,599728,1,-1,56,1
128,1780314637.662,mudanca_target,random_forest,670,22.3333,30,7.666699999999999,-0.255557,0,607813,2,1,57,1
129,1780314667.927,mudanca_target,random_forest,1311,43.7,30,13.700000000000003,0.456667,0,615324,1,-1,58,1
130,1780314698.186,mudanca_target,random_forest,671,22.3667,30,7.633299999999998,-0.254443,0,623447,2,1,59,1
131,1780314728.422,mudanca_target,random_forest,1303,43.4333,30,13.433300000000003,0.447777,0,630970,1,-1,60,1
132,1780314758.653,mudanca_target,random_forest,672,22.4,30,7.600000000000001,-0.253333,0,639047,2,1,61,1
133,1780314788.899,mudanca_target,random_forest,1314,43.8,30,13.799999999999997,0.46,0,646587,1,-1,62,1
134,1780314819.132,mudanca_target,random_forest,670,22.3333,30,7.666699999999999,-0.255557,0,654711,2,1,63,1
135,1780314849.38,mudanca_target,random_forest,1317,43.9,30,13.899999999999999,0.463333,0,662205,1,-1,64,1
136,1780314879.634,mudanca_target,random_forest,668,22.2667,30,7.7333,-0.257777,0,670310,2,1,65,1
137,1780314909.883,mudanca_target,random_forest,1310,43.6667,30,13.666699999999999,0.455557,0,677824,1,-1,66,1
138,1780314940.132,mudanca_target,random_forest,672,22.4,30,7.600000000000001,-0.253333,0,685900,2,1,67,1
139,1780314970.371,mudanca_target,random_forest,1313,43.7667,30,13.7667,0.45889,0,693396,1,-1,68,1
140,1780315000.616,mudanca_target,random_forest,670,22.3333,30,7.666699999999999,-0.255557,0,701484,2,1,69,1
141,1780315030.867,mudanca_target,random_forest,1316,43.8667,30,13.866700000000002,0.462223,0,710290,1,-1,70,1
142,1780315061.103,mudanca_target,random_forest,665,22.1667,30,7.833300000000001,-0.26111,0,718481,2,1,71,1
143,1780315091.353,mudanca_target,random_forest,1299,43.3,30,13.299999999999997,0.443333,0,726024,1,-1,72,1
144,1780315121.587,mudanca_target,random_forest,670,22.3333,190,167.6667,-0.882456,0,734217,2,1,1,1
145,1780315151.831,mudanca_target,random_forest,1318,43.9333,190,146.0667,-0.768772,0,741710,3,1,2,1
146,1780315182.063,mudanca_target,random_forest,1952,65.0667,190,124.9333,-0.657544,0,748596,4,1,3,1
147,1780315212.3,mudanca_target,random_forest,2498,83.2667,190,106.7333,-0.561754,0,754759,5,1,4,1
148,1780315242.552,mudanca_target,random_forest,3154,105.1333,190,84.8667,-0.446667,0,760483,6,1,5,1
149,1780315272.806,mudanca_target,random_forest,3668,122.2667,190,67.7333,-0.356491,0,765492,7,1,6,1
150,1780315303.074,mudanca_target,random_forest,4242,141.4,190,48.599999999999994,-0.255789,0,770093,8,1,7,1
151,1780315333.333,mudanca_target,random_forest,4726,157.5333,190,32.4667,-0.170877,0,773439,9,1,8,1
152,1780315363.585,mudanca_target,random_forest,5189,172.9667,190,17.033299999999997,-0.089649,1,777163,9,0,9,0
153,1780315393.709,mudanca_target,random_forest,5180,172.6667,190,17.33330000000001,-0.091228,1,780712,9,0,10,0
154,1780315423.827,mudanca_target,random_forest,5185,172.8333,190,17.16669999999999,-0.090351,1,784337,9,0,11,0
155,1780315453.933,mudanca_target,random_forest,5115,170.5,190,19.5,-0.102632,0,787931,10,1,12,1
156,1780315484.209,mudanca_target,random_forest,5628,187.6,190,2.4000000000000057,-0.012632,1,791221,10,0,13,0
157,1780315514.337,mudanca_target,random_forest,5549,184.9667,190,5.033299999999997,-0.026491,1,794429,10,0,14,0
158,1780315544.445,mudanca_target,random_forest,5620,187.3333,190,2.6666999999999916,-0.014035,1,797572,10,0,15,0
159,1780315574.558,mudanca_target,random_forest,5499,183.3,190,6.699999999999989,-0.035263,1,800766,10,0,16,0
160,1780315604.667,mudanca_target,random_forest,5581,186.0333,190,3.966700000000003,-0.020877,1,803983,10,0,17,0
161,1780315634.792,mudanca_target,random_forest,5636,187.8667,190,2.1332999999999913,-0.011228,1,807127,10,0,18,0
162,1780315664.897,mudanca_target,random_forest,5641,188.0333,190,1.966700000000003,-0.010351,1,810255,10,0,19,0
163,1780315695.029,mudanca_target,random_forest,5537,184.5667,190,5.433300000000003,-0.028596,1,813471,10,0,20,0
164,1780315725.151,mudanca_target,random_forest,5603,186.7667,190,3.233300000000014,-0.017017,1,816716,10,0,21,0
165,1780315755.254,mudanca_target,random_forest,5583,186.1,190,3.9000000000000057,-0.020526,1,819903,10,0,22,0
166,1780315785.385,mudanca_target,random_forest,5577,185.9,190,4.099999999999994,-0.021579,1,823138,10,0,23,0
167,1780315815.482,mudanca_target,random_forest,5573,185.7667,190,4.233300000000014,-0.022281,1,826213,10,0,24,0
168,1780315845.581,mudanca_target,random_forest,5567,185.5667,190,4.433300000000003,-0.023333,1,829456,10,0,25,0
169,1780315875.701,mudanca_target,random_forest,5597,186.5667,190,3.4333000000000027,-0.01807,1,832614,10,0,26,0
170,1780315905.83,mudanca_target,random_forest,5596,186.5333,190,3.466700000000003,-0.018246,1,835859,10,0,27,0
171,1780315935.942,mudanca_target,random_forest,5509,183.6333,190,6.366700000000009,-0.033509,1,839584,10,0,28,0
172,1780315966.055,mudanca_target,random_forest,5641,188.0333,190,1.966700000000003,-0.010351,1,842778,10,0,29,0
173,1780315996.181,mudanca_target,random_forest,5544,184.8,190,5.199999999999989,-0.027368,1,845957,10,0,30,0
174,1780316026.313,mudanca_target,random_forest,5608,186.9333,190,3.0666999999999973,-0.016141,1,849201,10,0,31,0
175,1780316056.422,mudanca_target,random_forest,5503,183.4333,190,6.566699999999997,-0.034562,1,852365,10,0,32,0
176,1780316086.551,mudanca_target,random_forest,5612,187.0667,190,2.9333000000000027,-0.015438,1,855515,10,0,33,0
177,1780316116.657,mudanca_target,random_forest,5575,185.8333,190,4.166699999999992,-0.02193,1,858597,10,0,34,0
178,1780316146.779,mudanca_target,random_forest,5631,187.7,190,2.3000000000000114,-0.012105,1,861781,10,0,35,0
